SA1,SA2,VT5,PRNO,PROG
INT64,INT64,INT64,INT64,INT64
0,-37,5,141172,768
0,-37,5,141172,768
2,-46,5,141172,769
2,-49,7,141172,769
7,-55,3,141172,770
7,-55,3,141172,770
7,-58,0,141172,770
7,-58,0,141172,770
7,-58,0,141172,770
16,-76,2,141172,771
16,-76,2,141172,771
16,-76,2,141172,771
16,-99,2,141172,772
16,-101,2,141172,772
37,-119,0,141172,773
22,-119,1,141172,773
35,-128,-2,141172,773
35,-128,-2,141172,774
37,-134,-2,141172,774
37,-134,-2,141172,774
37,-134,-2,141172,774
36,-132,-2,141172,774
40,-137,0,141172,774
45,-134,-4,141172,775
45,-134,-4,141172,775
45,-134,-4,141172,776
49,-124,-4,141172,777
49,-106,-4,141172,777
49,-99,-6,141172,777
49,-92,0,141172,777
32,-97,0,141172,778
32,-97,-2,141172,778
34,-83,-3,141172,778
21,-83,0,141172,779
21,-83,0,141172,779
21,-83,0,141172,779
21,-83,0,141172,779
29,-74,-2,141172,779
27,-67,-2,141172,779
24,-58,-6,141172,780
20,-50,-3,141172,780
12,-38,9,141172,781
12,-39,5,141172,782
12,-39,5,141172,782
12,-38,5,141172,782
12,-41,7,141172,782
9,-39,3,141172,782
9,-39,3,141172,782
14,-39,5,141172,783
12,-45,2,141172,783
14,-50,0,141172,784
10,-63,-2,141172,785
10,-68,0,141172,785
10,-82,0,141172,785
24,-92,0,141172,786
20,-92,-3,141172,786
20,-69,-4,141172,786
20,-69,-8,141172,787
20,-92,-7,141172,787
37,-100,-7,141172,787
37,-100,-7,141172,787
26,-100,-11,141172,787
42,-113,-7,141172,788
40,-127,-8,141172,788
37,-129,-2,141172,789
38,-128,-6,141172,789
25,-128,-6,141172,789
42,-117,-2,141172,790
42,-110,-7,141172,790
42,-110,-7,141172,790
40,-101,-11,141172,791
39,-99,-11,141172,791
36,-92,-3,141172,791
32,-87,-2,141172,792
33,-74,-4,141172,792
29,-80,0,141172,793
31,-77,-2,141172,793
31,-77,-2,141172,793
34,-66,1,141172,793
23,-66,1,141172,794
31,-55,1,141172,794
31,-55,5,141172,794
31,-43,10,141172,795
25,-49,11,141172,795
24,-55,3,141172,796
23,-57,1,141172,796
23,-57,1,141172,796
24,-60,0,141172,796
24,-60,0,141172,797
26,-65,-2,141172,797
30,-69,-2,141172,798
32,-76,-2,141172,798
34,-83,0,141172,798
37,-90,3,141172,798
40,-94,2,141172,799
39,-97,2,141172,799
39,-97,2,141172,799
58,-74,2,141172,800
54,-77,2,141172,800
46,-83,0,141172,800
40,-84,-6,141172,801
40,-84,-6,141172,801
40,-87,-7,141172,802
59,-127,0,141172,802
59,-127,-2,141172,802
59,-127,-2,141172,802
60,-119,-7,141172,803
26,-119,-7,141172,803
57,-134,-2,141172,803
51,-150,-3,141172,804
51,-150,-3,141172,804
44,-150,-7,141172,805
44,-150,-7,141172,805
44,-137,-4,141172,805
44,-155,-4,141172,805
44,-170,-2,141172,806
34,-110,-3,141172,806
28,-109,1,141172,806
28,-109,3,141172,807
28,-109,3,141172,807
11,-108,15,141172,807
11,-108,15,141172,807
1,-110,19,141172,808
34,-75,18,141172,808
20,-70,16,141172,808
20,-70,16,141172,808
11,-52,6,141172,809
11,-52,3,141172,809
11,-52,3,141172,809
-15,-59,3,141172,810
11,-45,1,141172,810
14,-39,1,141172,810
14,-39,1,141172,810
14,-39,1,141172,810
14,-46,1,141172,811
7,-28,-3,141172,811
8,-30,-11,141172,812
2,-23,-13,141172,812
0,-17,-4,141172,812
1,-15,-4,141172,812
-6,-15,-11,141172,812
8,-13,-2,141172,812
8,-13,-2,141172,812
-1,-13,-11,141172,812
9,-34,15,141172,812
9,-28,19,141172,812
9,-28,20,141172,812
10,-35,18,141172,812
14,-45,18,141172,812
16,-57,13,141172,812
10,-58,10,141172,812
7,-67,10,141172,812
7,-67,10,141172,812
9,-77,10,141172,812
9,-77,13,141172,812
11,-83,13,141172,812
18,-88,11,141172,812
16,-97,5,141172,812
31,-92,5,141172,812
31,-92,2,141172,812
31,-107,2,141172,812
31,-107,2,141172,812
31,-107,2,141172,812
31,-107,2,141172,812
31,-107,2,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
31,-107,0,141172,812
